ticker,year,semantic_text_similarity,semantic_similarity_status,semantic_similarity_gap_reason,semantic_embedding_model
AMZN,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AMZN,2018,11.718394,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2019,24.194948,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2020,16.25275,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2021,13.12813,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2022,15.795776,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2023,21.931511,computed,,sentence-transformers/all-MiniLM-L6-v2
AMZN,2024,20.40039,computed,,sentence-transformers/all-MiniLM-L6-v2
AVGO,2016,,missing_part2_text,Part 2 proxy clean text is unavailable.,
AVGO,2017,,missing_part2_text,Part 2 proxy clean text is unavailable.,
AVGO,2018,,missing_part2_text,Part 2 proxy clean text is unavailable.,
AVGO,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AVGO,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AVGO,2021,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AVGO,2022,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AVGO,2023,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AVGO,2024,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AXP,2016,17.010692,computed,,sentence-transformers/all-MiniLM-L6-v2
AXP,2017,30.889157,computed,,sentence-transformers/all-MiniLM-L6-v2
AXP,2018,30.058273,computed,,sentence-transformers/all-MiniLM-L6-v2
AXP,2019,3.822743,computed,,sentence-transformers/all-MiniLM-L6-v2
AXP,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AXP,2021,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AXP,2022,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
AXP,2023,28.748099,computed,,sentence-transformers/all-MiniLM-L6-v2
AXP,2024,2.857766,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2016,2.976595,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2017,10.236646,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2018,6.460557,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2019,6.070299,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2020,1.462134,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2021,-3.695923,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2022,-1.074465,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2023,-3.884688,computed,,sentence-transformers/all-MiniLM-L6-v2
BAC,2024,13.778593,computed,,sentence-transformers/all-MiniLM-L6-v2
BLK,2016,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2017,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2018,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2019,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2020,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2021,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2022,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2023,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BLK,2024,,missing_part2_text,Part 2 proxy clean text is unavailable.,
BMY,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
BMY,2017,20.328114,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2018,19.870091,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2019,17.190222,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2020,12.937958,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2021,7.923953,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2022,12.688105,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2023,12.59296,computed,,sentence-transformers/all-MiniLM-L6-v2
BMY,2024,13.667725,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2016,50.280182,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2017,51.810613,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2018,51.924888,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2019,50.014993,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2020,51.656195,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2021,46.914093,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2022,53.720116,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2023,63.804745,computed,,sentence-transformers/all-MiniLM-L6-v2
BRK.B,2024,57.467658,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2016,24.814714,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2017,29.647319,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2018,13.202451,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2019,14.392023,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2020,13.889906,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2021,13.527934,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2022,7.532741,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2023,23.358962,computed,,sentence-transformers/all-MiniLM-L6-v2
C,2024,23.600508,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
COP,2017,5.412829,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2018,5.76795,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2019,3.396229,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2020,2.564552,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2021,2.430184,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2022,3.279082,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2023,4.245395,computed,,sentence-transformers/all-MiniLM-L6-v2
COP,2024,4.146738,computed,,sentence-transformers/all-MiniLM-L6-v2
CRM,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CRM,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CRM,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CRM,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CRM,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CRM,2021,1.721935,computed,,sentence-transformers/all-MiniLM-L6-v2
CRM,2022,4.637872,computed,,sentence-transformers/all-MiniLM-L6-v2
CRM,2023,1.99621,computed,,sentence-transformers/all-MiniLM-L6-v2
CRM,2024,-1.10027,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2016,20.274497,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2017,20.28725,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2018,20.375398,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2019,20.277351,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2020,23.105949,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2021,22.424079,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2022,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
CVX,2023,31.859642,computed,,sentence-transformers/all-MiniLM-L6-v2
CVX,2024,32.058566,computed,,sentence-transformers/all-MiniLM-L6-v2
EOG,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
EOG,2017,35.426477,computed,,sentence-transformers/all-MiniLM-L6-v2
EOG,2018,34.857655,computed,,sentence-transformers/all-MiniLM-L6-v2
EOG,2019,25.243417,computed,,sentence-transformers/all-MiniLM-L6-v2
EOG,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
EOG,2021,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
EOG,2022,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
EOG,2023,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
EOG,2024,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
F,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
F,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
F,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
F,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
F,2020,15.327991,computed,,sentence-transformers/all-MiniLM-L6-v2
F,2021,14.404058,computed,,sentence-transformers/all-MiniLM-L6-v2
F,2022,17.88056,computed,,sentence-transformers/all-MiniLM-L6-v2
F,2023,19.003104,computed,,sentence-transformers/all-MiniLM-L6-v2
F,2024,19.845773,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2016,4.891527,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2017,6.731281,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2018,6.455868,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2019,6.536055,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2020,7.186984,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2021,6.56613,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2022,14.0329,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2023,6.16704,computed,,sentence-transformers/all-MiniLM-L6-v2
GOOGL,2024,8.284778,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2016,7.742033,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2017,-15.156125,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2018,10.695493,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2019,41.40345,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2020,41.525805,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2021,40.698508,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2022,39.635664,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2023,35.834428,computed,,sentence-transformers/all-MiniLM-L6-v2
GS,2024,32.61042,computed,,sentence-transformers/all-MiniLM-L6-v2
HAL,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
HAL,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
HAL,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
HAL,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
HAL,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
HAL,2021,38.835047,computed,,sentence-transformers/all-MiniLM-L6-v2
HAL,2022,32.966978,computed,,sentence-transformers/all-MiniLM-L6-v2
HAL,2023,48.988007,computed,,sentence-transformers/all-MiniLM-L6-v2
HAL,2024,47.055026,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2016,7.414903,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2017,10.104957,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2018,9.771002,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2019,6.002007,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2020,6.706378,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2021,5.11984,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2022,5.367714,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2023,7.663658,computed,,sentence-transformers/all-MiniLM-L6-v2
HD,2024,5.996374,computed,,sentence-transformers/all-MiniLM-L6-v2
IBM,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
IBM,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
IBM,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
IBM,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
IBM,2020,14.731762,computed,,sentence-transformers/all-MiniLM-L6-v2
IBM,2021,15.275418,computed,,sentence-transformers/all-MiniLM-L6-v2
IBM,2022,18.133326,computed,,sentence-transformers/all-MiniLM-L6-v2
IBM,2023,13.558486,computed,,sentence-transformers/all-MiniLM-L6-v2
IBM,2024,15.490989,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2016,10.012874,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2017,13.288812,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2018,17.369955,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2019,17.687182,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2020,18.820113,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2021,23.418745,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2022,22.509273,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2023,8.640257,computed,,sentence-transformers/all-MiniLM-L6-v2
INTC,2024,8.516965,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2016,4.667708,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2017,6.630793,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2018,5.032062,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2019,0.799016,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2020,3.248126,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2021,10.266179,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2022,4.187512,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2023,18.47739,computed,,sentence-transformers/all-MiniLM-L6-v2
JNJ,2024,9.913013,computed,,sentence-transformers/all-MiniLM-L6-v2
JPM,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
JPM,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
JPM,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
JPM,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
JPM,2020,27.620487,computed,,sentence-transformers/all-MiniLM-L6-v2
JPM,2021,8.300347,computed,,sentence-transformers/all-MiniLM-L6-v2
JPM,2022,8.242022,computed,,sentence-transformers/all-MiniLM-L6-v2
JPM,2023,27.504609,computed,,sentence-transformers/all-MiniLM-L6-v2
JPM,2024,21.143873,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2016,10.391908,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2017,17.877014,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2018,23.813609,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2019,26.808318,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2020,26.557925,computed,,sentence-transformers/all-MiniLM-L6-v2
LLY,2021,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LLY,2022,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LLY,2023,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LLY,2024,27.859193,computed,,sentence-transformers/all-MiniLM-L6-v2
LOW,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LOW,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LOW,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LOW,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
LOW,2020,-3.762939,computed,,sentence-transformers/all-MiniLM-L6-v2
LOW,2021,-6.12113,computed,,sentence-transformers/all-MiniLM-L6-v2
LOW,2022,14.061252,computed,,sentence-transformers/all-MiniLM-L6-v2
LOW,2023,18.751946,computed,,sentence-transformers/all-MiniLM-L6-v2
LOW,2024,9.591144,computed,,sentence-transformers/all-MiniLM-L6-v2
MCD,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MCD,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MCD,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MCD,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MCD,2020,9.140388,computed,,sentence-transformers/all-MiniLM-L6-v2
MCD,2021,8.144814,computed,,sentence-transformers/all-MiniLM-L6-v2
MCD,2022,,missing_part2_text,Part 2 proxy clean text is unavailable.,
MCD,2023,17.989262,computed,,sentence-transformers/all-MiniLM-L6-v2
MCD,2024,18.973033,computed,,sentence-transformers/all-MiniLM-L6-v2
MDT,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MDT,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MDT,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MDT,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MDT,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MDT,2021,1.111401,computed,,sentence-transformers/all-MiniLM-L6-v2
MDT,2022,3.630958,computed,,sentence-transformers/all-MiniLM-L6-v2
MDT,2023,3.506554,computed,,sentence-transformers/all-MiniLM-L6-v2
MDT,2024,3.677509,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
META,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
META,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
META,2019,16.713839,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2020,17.127407,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2021,17.84967,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2022,8.895263,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2023,8.643022,computed,,sentence-transformers/all-MiniLM-L6-v2
META,2024,7.114978,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2016,33.269196,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2017,18.065632,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2018,34.292144,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2019,22.181338,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2020,20.579654,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2021,16.857482,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2022,16.559845,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2023,30.529977,computed,,sentence-transformers/all-MiniLM-L6-v2
MPC,2024,34.53418,computed,,sentence-transformers/all-MiniLM-L6-v2
MRK,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MRK,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MRK,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MRK,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
MRK,2020,4.815638,computed,,sentence-transformers/all-MiniLM-L6-v2
MRK,2021,5.424638,computed,,sentence-transformers/all-MiniLM-L6-v2
MRK,2022,6.577617,computed,,sentence-transformers/all-MiniLM-L6-v2
MRK,2023,8.352031,computed,,sentence-transformers/all-MiniLM-L6-v2
MRK,2024,7.154042,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2016,28.083893,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2017,26.863085,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2018,28.366542,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2019,29.159706,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2020,19.856031,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2021,23.094587,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2022,22.935555,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2023,24.863901,computed,,sentence-transformers/all-MiniLM-L6-v2
MS,2024,25.735197,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2016,8.48909,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2017,-8.351553,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2018,-2.458005,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2019,1.008432,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2020,2.966647,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2021,1.608194,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2022,7.621456,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2023,7.072854,computed,,sentence-transformers/all-MiniLM-L6-v2
MSFT,2024,10.376354,computed,,sentence-transformers/all-MiniLM-L6-v2
NKE,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2017,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2019,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2021,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NKE,2022,27.808932,computed,,sentence-transformers/all-MiniLM-L6-v2
NKE,2023,9.467213,computed,,sentence-transformers/all-MiniLM-L6-v2
NKE,2024,9.467213,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
NVDA,2017,37.901724,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2018,1.193877,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2019,-3.7669,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2020,-3.563819,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2021,2.921566,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2022,-9.48593,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2023,5.631452,computed,,sentence-transformers/all-MiniLM-L6-v2
NVDA,2024,-0.988455,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
ORCL,2017,23.86979,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2018,21.917019,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2019,21.688927,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2020,22.281556,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2021,16.887392,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2022,41.467366,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2023,48.137965,computed,,sentence-transformers/all-MiniLM-L6-v2
ORCL,2024,45.361945,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2016,40.384256,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2017,4.42879,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2018,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
OXY,2019,36.747364,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2020,32.249013,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2021,10.463744,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2022,14.20613,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2023,19.581859,computed,,sentence-transformers/all-MiniLM-L6-v2
OXY,2024,15.527796,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2016,8.699284,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2017,8.642328,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2018,2.698588,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2019,7.736034,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2020,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
PFE,2021,13.38046,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2022,20.431334,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2023,25.204113,computed,,sentence-transformers/all-MiniLM-L6-v2
PFE,2024,23.773144,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2016,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
PSX,2017,-6.627925,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2018,-6.342645,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2019,-6.692272,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2020,-7.376594,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2021,9.937093,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2022,31.060397,computed,,sentence-transformers/all-MiniLM-L6-v2
PSX,2023,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
PSX,2024,3.907854,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2016,28.351137,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2017,20.941068,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2018,20.290784,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2019,20.08781,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2020,20.474313,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2021,19.221898,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2022,19.788911,computed,,sentence-transformers/all-MiniLM-L6-v2
SBUX,2023,,missing_part1_text,Part 1 stated-values clean text is unavailable.,
SBUX,2024,,missing_part2_text,Part 2 proxy clean text is unavailable.,
SCHW,2016,25.364412,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2017,24.085567,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2018,24.994664,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2019,32.381555,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2020,31.751933,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2021,39.485356,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2022,28.160973,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2023,38.826292,computed,,sentence-transformers/all-MiniLM-L6-v2
SCHW,2024,29.070532,computed,,sentence-transformers/all-MiniLM-L6-v2
