audit_bucket,ticker,company_name,sector,year,authenticity_index,cosine_alignment,l1_alignment,jaccard_theme_overlap,semantic_text_similarity,stated_top_theme_summary,disclosure_top_theme_summary,largest_theme_gap_summary,part1_source_url,part2_sec_archive_url
low_alignment,NVDA,NVIDIA,Technology,2021,0.0,0.0,0.0,0.0,2.921566,Purpose and identity (1),"Diversity, equity, and inclusion (113); Employees and workplace (111); Leadership and accountability (74)","Purpose and identity: 1.0; Diversity, equity, and inclusion: -0.241453; Employees and workplace: -0.237179",https://www.nvidia.com/en-us/about-nvidia/,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000052/nvda2021definitiveproxysta.htm
low_alignment,MSFT,Microsoft,Technology,2017,0.237812,0.571884,0.237812,8.333333,-8.351553,Purpose and identity (2),Shareholders and performance (238); Employees and workplace (169); Leadership and accountability (134),Purpose and identity: 0.997622; Shareholders and performance: -0.282996; Employees and workplace: -0.200951,https://www.microsoft.com/en-us/about,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951/d461626ddef14a.htm
low_alignment,TGT,Target,Consumer Discretionary,2019,0.513699,1.027976,0.513699,9.090909,-12.296231,Innovation and excellence (1),"Shareholders and performance (252); Leadership and accountability (120); Diversity, equity, and inclusion (51)",Innovation and excellence: 0.994863; Shareholders and performance: -0.431507; Leadership and accountability: -0.205479,https://corporate.target.com/about,https://www.sec.gov/Archives/edgar/data/27419/000130817919000197/ltgt2019_def14a.htm
low_alignment,GS,Goldman Sachs,Financials,2017,0.598802,1.313712,0.598802,9.090909,-15.156125,Innovation and excellence (1),"Shareholders and performance (312); Leadership and accountability (122); Diversity, equity, and inclusion (115)",Innovation and excellence: 0.994012; Shareholders and performance: -0.373653; Leadership and accountability: -0.146108,http://www.goldmansachs.com:80/our-firm/progress/index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312517086538/d535038ddef14a.htm
low_alignment,WFC,Wells Fargo,Financials,2016,0.685871,1.806963,0.685871,8.333333,15.451692,Purpose and identity (4),"Leadership and accountability (174); Customers and service (132); Diversity, equity, and inclusion (119)",Purpose and identity: 0.993141; Leadership and accountability: -0.238683; Customers and service: -0.18107,https://www.wellsfargo.com/about/,https://www.sec.gov/Archives/edgar/data/72971/000119312516506771/d897049ddef14a.htm
low_alignment,WFC,Wells Fargo,Financials,2017,1.2939,3.351143,1.2939,8.333333,14.895595,Purpose and identity (4),Customers and service (250); Leadership and accountability (228); Integrity and ethics (169),Purpose and identity: 0.987061; Customers and service: -0.231054; Leadership and accountability: -0.210721,https://www.wellsfargo.com/about/,https://www.sec.gov/Archives/edgar/data/72971/000119312517083591/d305364ddef14a.htm
low_alignment,COP,ConocoPhillips,Energy,2017,1.565996,4.030885,1.565996,8.333333,5.412829,Innovation and excellence (3),Employees and workplace (260); Customers and service (107); Environment and sustainability (99),Innovation and excellence: 0.98434; Employees and workplace: -0.290828; Customers and service: -0.119687,http://www.conocophillips.com:80/about-us/,https://www.sec.gov/Archives/edgar/data/1163165/000104746917002284/a2230814zdef14a.htm
low_alignment,COP,ConocoPhillips,Energy,2018,1.592719,4.147042,1.592719,8.333333,5.76795,Innovation and excellence (3),Employees and workplace (243); Leadership and accountability (109); Customers and service (105),Innovation and excellence: 0.984073; Employees and workplace: -0.276451; Leadership and accountability: -0.124005,http://www.conocophillips.com/about-us/,https://www.sec.gov/Archives/edgar/data/1163165/000120677418001045/conoco3364391-def14a.htm
low_alignment,TSLA,Tesla,Consumer Discretionary,2016,5.106383,7.733196,5.106383,27.272727,18.738512,"Environment and sustainability (3); Health, safety, and wellbeing (2); Innovation and excellence (1)","Diversity, equity, and inclusion (68); Customers and service (42); Leadership and accountability (42)","Environment and sustainability: 0.474468; Health, safety, and wellbeing: 0.312057; Diversity, equity, and inclusion: -0.289362",https://www.tesla.com/about,https://www.sec.gov/Archives/edgar/data/1318605/000119312516543341/d133980ddef14a.htm
low_alignment,TSLA,Tesla,Consumer Discretionary,2017,5.703422,9.352856,5.703422,25.0,4.849471,"Environment and sustainability (3); Health, safety, and wellbeing (2); Innovation and excellence (1)","Diversity, equity, and inclusion (70); Customers and service (53); Leadership and accountability (46)","Environment and sustainability: 0.465779; Health, safety, and wellbeing: 0.314322; Diversity, equity, and inclusion: -0.26616",https://www.tesla.com/about,https://www.sec.gov/Archives/edgar/data/1318605/000119312517130746/d318894ddef14a.htm
